,timestamp,amount,age,gender,merchant,category,fraud,session_key
0,2023-01-04 01:13:59.021,172.73108370812102,3,F,M480139044,health,1,108.0
1,2023-01-09 11:44:38.836,132.29203069991505,4,F,M1823072687,health,1,608.0
2,2023-01-10 09:37:59.665,312.2218635267411,4,F,M480139044,health,1,608.0
3,2023-01-19 03:18:15.512,234.86752020506836,3,M,M480139044,health,1,618.0
4,2023-01-12 06:58:34.742,218.6219972272928,2,F,M480139044,health,1,714.0
5,2023-01-15 03:51:11.917,184.8036940202791,3,F,M480139044,health,1,745.0
6,2023-01-16 06:56:24.781,149.7194199227559,2,F,M348934600,transportation,0,123.0
7,2023-01-16 14:51:48.676,95.64018012540114,2,F,M348934600,transportation,0,123.0
8,2023-01-16 22:45:48.770,102.31824953279225,2,F,M348934600,transportation,0,123.0
9,2023-01-17 06:34:11.459,126.17995108337574,2,F,M348934600,transportation,0,123.0
10,2023-01-17 13:37:58.924,20.91620132592359,2,F,M348934600,transportation,0,123.0
11,2023-01-17 21:37:37.891,18.39728608417792,2,F,M348934600,transportation,0,123.0
12,2023-01-18 05:37:03.305,21.347758270386652,2,F,M348934600,transportation,0,123.0
13,2023-01-18 13:35:54.665,15.320479842537061,2,F,M348934600,transportation,0,123.0
14,2023-01-18 21:24:49.024,6.492631828118129,2,F,M348934600,transportation,0,123.0
15,2023-01-19 05:24:38.907,6.9598016120273885,2,F,M348934600,transportation,0,123.0
16,2023-01-19 13:24:18.392,6.031115260024556,2,F,M348934600,transportation,0,123.0
17,2023-01-19 21:23:02.796,4.433824425266474,2,F,M348934600,transportation,0,123.0
18,2023-01-20 05:17:34.626,6.70179372980794,2,F,M348934600,transportation,0,123.0
19,2023-01-20 13:17:08.201,6.445534879483853,2,F,M348934600,transportation,0,123.0
20,2023-01-20 21:15:44.997,4.403569656192937,2,F,M348934600,transportation,0,123.0
21,2023-01-21 05:06:10.412,4.113168381019799,2,F,M348934600,transportation,0,123.0
22,2023-01-21 12:53:09.186,45.19766108673979,2,F,M348934600,transportation,0,123.0
23,2023-01-21 19:26:10.197,28.923119409006095,2,F,M348934600,transportation,0,123.0
24,2023-01-01 22:11:54.192,89.09009522675956,2,F,M348934600,transportation,0,625.0
25,2023-01-02 06:08:33.595,73.60877699704382,2,F,M348934600,transportation,0,625.0
26,2023-01-02 14:02:42.682,68.07050262268754,2,F,M348934600,transportation,0,625.0
27,2023-01-02 21:51:30.405,126.55228768498685,2,F,M348934600,transportation,0,625.0
28,2023-01-03 05:18:13.228,14.029629371762388,2,F,M348934600,transportation,0,625.0
29,2023-01-03 13:17:44.257,12.984084903921168,2,F,M348934600,transportation,0,625.0
30,2023-01-03 21:16:41.326,12.112082414832928,2,F,M348934600,transportation,0,625.0
31,2023-01-04 05:14:03.350,12.081384927594854,2,F,M348934600,transportation,0,625.0
32,2023-01-04 13:02:46.071,9.422403103244022,2,F,M348934600,transportation,0,625.0
33,2023-01-04 21:02:11.931,7.839247669188702,2,F,M348934600,transportation,0,625.0
34,2023-01-05 05:00:05.194,6.136969763456112,2,F,M348934600,transportation,0,625.0
35,2023-01-05 12:51:22.178,6.7309706277235515,2,F,M348934600,transportation,0,625.0
36,2023-01-05 20:18:44.140,58.96611572426343,2,F,M348934600,transportation,0,625.0
37,2023-01-06 03:10:57.229,36.872595105385436,2,F,M348934600,transportation,0,625.0
38,2023-01-12 00:24:48.900,73.34825565623157,3,M,M348934600,transportation,0,684.0
39,2023-01-12 08:16:14.923,69.52297237689878,3,M,M348934600,transportation,0,684.0
40,2023-01-12 16:00:33.921,86.73726186754898,3,M,M348934600,transportation,0,684.0
41,2023-01-12 23:25:10.085,75.67085667742228,3,M,M348934600,transportation,0,684.0
42,2023-01-13 06:41:42.005,26.47491629308196,3,M,M348934600,transportation,0,684.0
43,2023-01-13 14:31:41.472,19.609696340850906,3,M,M348934600,transportation,0,684.0
44,2023-01-13 22:07:30.473,25.431534651047222,3,M,M348934600,transportation,0,684.0
45,2023-01-14 04:32:41.846,18.77564719457205,3,M,M348934600,transportation,0,684.0
46,2023-01-14 11:04:17.616,99.94910525581838,3,M,M348934600,transportation,0,684.0
47,2023-01-01 10:02:56.570,826.55477948442,2,F,M480139044,health,1,197.0
48,2023-01-16 00:20:33.886,503.32486391450817,3,M,M480139044,health,1,401.0
49,2023-01-14 20:56:54.874,385.78134480018446,3,F,M1823072687,transportation,1,427.0
50,2023-01-12 22:36:53.073,332.55301167623236,6,M,M480139044,health,1,588.0
51,2023-01-11 12:27:23.906,269.12550984262776,2,M,M480139044,health,1,843.0
52,2023-01-16 17:06:14.946,154.67342437810126,2,F,M480139044,health,1,951.0
53,2023-01-16 08:42:24.728,73.6583992100886,2,F,M348934600,transportation,0,721.0
54,2023-01-16 16:40:29.890,66.44887438984311,2,F,M348934600,transportation,0,721.0
55,2023-01-17 00:36:04.347,60.38797063196065,2,F,M348934600,transportation,0,721.0
56,2023-01-17 08:30:21.147,61.701363131091746,2,F,M348934600,transportation,0,721.0
57,2023-01-17 15:59:25.251,16.976696760140392,2,F,M348934600,transportation,0,721.0
58,2023-01-17 23:58:57.732,15.749847988394652,2,F,M348934600,transportation,0,721.0
59,2023-01-18 07:58:07.185,19.0890987385545,2,F,M1823072687,transportation,0,721.0
60,2023-01-18 15:56:02.459,11.616775235258388,2,F,M1823072687,transportation,0,721.0
61,2023-01-18 23:45:27.328,9.5260817944696,2,F,M1823072687,transportation,0,721.0
62,2023-01-19 07:44:52.917,7.613384077169031,2,F,M1823072687,transportation,0,721.0
63,2023-01-19 15:43:39.402,8.94124342533541,2,F,M1823072687,transportation,0,721.0
64,2023-01-19 23:37:57.337,5.003841475688314,2,F,M1823072687,transportation,0,721.0
65,2023-01-20 07:31:09.853,13.672701723440682,2,F,M1823072687,transportation,0,721.0
66,2023-01-20 15:29:10.349,9.41808158366726,2,F,M1823072687,transportation,0,721.0
67,2023-01-20 23:22:48.144,8.920783943224965,2,F,M1823072687,transportation,0,721.0
68,2023-01-21 06:38:07.494,5.358822344667831,2,F,M1823072687,transportation,0,721.0
69,2023-01-21 14:21:22.621,70.4648263476967,2,F,M1823072687,transportation,0,721.0
70,2023-01-21 20:33:05.829,49.37011096430259,2,F,M1823072687,transportation,0,721.0
71,2023-01-14 21:29:43.057,144.94839619743144,2,M,M1823072687,transportation,0,977.0
72,2023-01-15 05:26:06.476,74.4921213352166,2,M,M348934600,transportation,0,977.0
73,2023-01-15 13:18:51.117,99.15717100309556,2,M,M1823072687,transportation,0,977.0
74,2023-01-15 21:07:13.455,101.8633288750594,2,M,M1823072687,transportation,0,977.0
75,2023-01-16 04:29:56.903,19.019553027523795,2,M,M1823072687,transportation,0,977.0
76,2023-01-16 12:29:10.591,13.195375984836955,2,M,M1823072687,transportation,0,977.0
77,2023-01-16 20:27:46.336,17.81852003738851,2,M,M1823072687,transportation,0,977.0
78,2023-01-17 04:24:08.131,11.226204548177227,2,M,M1823072687,transportation,0,977.0
79,2023-01-17 12:13:33.722,9.723544721088816,2,M,M1823072687,transportation,0,977.0
80,2023-01-17 20:12:46.982,7.010584336954151,2,M,M1823072687,transportation,0,977.0
81,2023-01-18 04:11:11.803,8.071521229939975,2,M,M1823072687,transportation,0,977.0
82,2023-01-18 12:02:54.852,4.425130030805864,2,M,M1823072687,transportation,0,977.0
83,2023-01-18 19:55:35.600,14.793429180274371,2,M,M1823072687,transportation,0,977.0
84,2023-01-19 03:53:13.960,9.66060495536388,2,M,M1823072687,transportation,0,977.0
85,2023-01-19 11:45:50.933,8.846746708842316,2,M,M1823072687,transportation,0,977.0
86,2023-01-19 18:52:40.246,5.158125214283957,2,M,M1823072687,transportation,0,977.0
87,2023-01-20 02:33:47.260,76.83108521976857,2,M,M1823072687,transportation,0,977.0
88,2023-01-20 08:32:37.334,51.74392090043979,2,M,M1823072687,transportation,0,977.0
89,2023-01-10 09:53:25.215,746.6938816121555,2,M,M480139044,health,1,162.0
90,2023-01-07 03:36:40.024,149.30517739056242,3,F,M480139044,health,1,407.0
91,2023-01-12 12:13:22.728,335.0546361173439,3,M,M480139044,health,1,300.0
92,2023-01-17 04:52:55.896,281.05971819247935,3,M,M480139044,health,1,320.0
93,2023-01-13 16:04:52.879,248.91474325527378,4,M,M480139044,health,1,584.0
94,2023-01-11 15:07:54.265,217.171260567123,2,M,M480139044,health,1,862.0
95,2023-01-05 10:49:23.583,49.1002158042199,2,M,M348934600,transportation,0,916.0
96,2023-01-05 18:48:27.778,42.530835477095145,2,M,M348934600,transportation,0,916.0
97,2023-01-06 02:46:43.056,41.774361178479026,2,M,M348934600,transportation,0,916.0
98,2023-01-06 10:43:38.970,36.00780715150648,2,M,M348934600,transportation,0,916.0
99,2023-01-06 18:09:22.601,12.04881149592092,2,M,M348934600,transportation,0,916.0
100,2023-01-07 02:09:13.651,11.361685751179564,2,M,M348934600,transportation,0,916.0
101,2023-01-07 10:08:54.523,11.488382245215725,2,M,M348934600,transportation,0,916.0
102,2023-01-07 18:08:15.094,8.12612785922656,2,M,M348934600,transportation,0,916.0
103,2023-01-08 01:57:48.578,5.418798259853915,2,M,M348934600,transportation,0,916.0
104,2023-01-08 09:57:41.776,5.212653925173584,2,M,M348934600,transportation,0,916.0
105,2023-01-08 17:57:24.170,4.860383081651918,2,M,M348934600,transportation,0,916.0
106,2023-01-09 01:56:27.689,3.837234250027383,2,M,M348934600,transportation,0,916.0
107,2023-01-09 09:49:23.777,6.557146489927041,2,M,M348934600,transportation,0,916.0
108,2023-01-09 17:49:05.747,5.988751263714619,2,M,M348934600,transportation,0,916.0
109,2023-01-10 01:47:50.383,4.528056691442618,2,M,M348934600,transportation,0,916.0
110,2023-01-10 09:42:12.152,4.621986138394219,2,M,M348934600,transportation,0,916.0
111,2023-01-10 17:20:35.362,39.31806635508894,2,M,M348934600,transportation,0,916.0
112,2023-01-11 00:30:03.150,30.460633551752135,2,M,M348934600,transportation,0,916.0
113,2023-01-02 09:16:05.424,1386.2316123699684,4,M,M480139044,wellnessandbeauty,1,18.0
114,2023-01-17 15:48:27.849,118.95020998086486,3,M,M480139044,health,1,932.0
115,2023-01-18 16:12:09.208,136.76073104504084,3,M,M480139044,health,1,932.0
116,2023-01-19 11:53:58.168,441.55920565123273,3,M,M480139044,health,1,932.0
117,2023-01-11 19:30:49.154,139.66124101065444,2,F,M348934600,wellnessandbeauty,0,614.0
118,2023-01-12 03:07:15.740,188.32184659043725,2,F,M348934600,transportation,0,614.0
119,2023-01-12 10:10:54.975,174.37673914119117,2,F,M348934600,transportation,0,614.0
120,2023-01-12 16:53:07.669,168.3367316806748,2,F,M348934600,transportation,0,614.0
121,2023-01-12 22:08:54.679,33.81592486644947,2,F,M1823072687,transportation,0,614.0
122,2023-01-13 06:06:09.168,29.6483649585867,2,F,M1823072687,transportation,0,614.0
123,2023-01-13 14:00:28.208,35.94599661224656,2,F,M1823072687,transportation,0,614.0
124,2023-01-13 21:46:08.943,22.809198084902288,2,F,M1823072687,transportation,0,614.0
125,2023-01-14 05:24:54.803,11.237384657558989,2,F,M1823072687,transportation,0,614.0
126,2023-01-14 13:23:48.202,8.17720986163255,2,F,M1823072687,transportation,0,614.0
127,2023-01-14 21:21:54.348,10.346087920569364,2,F,M1823072687,transportation,0,614.0
128,2023-01-15 05:12:53.022,5.998999894078195,2,F,M1823072687,transportation,0,614.0
129,2023-01-15 13:04:11.689,10.64407856566443,2,F,M1823072687,transportation,0,614.0
130,2023-01-15 21:02:42.592,7.42128394324957,2,F,M1823072687,transportation,0,614.0
131,2023-01-16 04:59:19.997,7.426123147933396,2,F,M1823072687,transportation,0,614.0
132,2023-01-16 12:35:15.393,4.382878780055162,2,F,M1823072687,transportation,0,614.0
133,2023-01-16 20:25:20.868,29.32563640303911,2,F,M1823072687,transportation,0,614.0
134,2023-01-17 04:12:02.119,20.495689904520273,2,F,M1823072687,transportation,0,614.0
135,2023-01-17 11:12:43.753,17.18443074817685,2,F,M1823072687,transportation,0,614.0
136,2023-01-13 01:05:05.979,176.08382260502708,3,M,M480139044,health,0,915.0
137,2023-01-13 19:28:04.528,38.54542753084926,3,F,M348934600,transportation,0,951.0
138,2023-01-14 03:27:29.621,34.06502525919844,3,F,M348934600,transportation,0,951.0
139,2023-01-14 11:26:37.407,35.85761826078736,3,F,M348934600,transportation,0,951.0
140,2023-01-14 19:25:18.707,33.02716637869358,3,F,M348934600,transportation,0,951.0
141,2023-01-15 02:57:44.189,11.186809715024115,3,F,M348934600,transportation,0,951.0
142,2023-01-15 10:57:35.790,12.460143894046182,3,F,M348934600,transportation,0,951.0
143,2023-01-15 18:57:18.778,12.957041317267736,3,F,M348934600,transportation,0,951.0
144,2023-01-16 02:56:46.305,8.74898332258583,3,F,M348934600,transportation,0,951.0
145,2023-01-16 10:48:20.646,5.694936926638347,3,F,M348934600,transportation,0,951.0
146,2023-01-16 18:48:13.562,6.164733504990523,3,F,M348934600,transportation,0,951.0
147,2023-01-17 02:47:55.279,5.474037680970345,3,F,M348934600,transportation,0,951.0
148,2023-01-17 10:46:52.509,4.046037550003919,3,F,M348934600,transportation,0,951.0
149,2023-01-17 18:40:58.456,7.568327764127826,3,F,M348934600,transportation,0,951.0
150,2023-01-18 02:40:34.827,7.32309967959133,3,F,M348934600,transportation,0,951.0
151,2023-01-18 10:38:42.865,5.166350327490158,3,F,M348934600,transportation,0,951.0
