,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2023-09-01 00:00:00,0.557601457264601,0.43814034934074814,0.5418145525557905,0.557601457264601,0.557601457264601,-0.06576204265309482,-0.06576204265309482,-0.06576204265309482,-0.05967649543795024,-0.05967649543795024,-0.05967649543795024,-0.0060855472151445725,-0.0060855472151445725,-0.0060855472151445725,0.0,0.0,0.0,0.49183941461150615
1,2023-09-01 00:01:00,0.5575982955318107,0.4380255098095031,0.5431953442296006,0.5575982955318107,0.5575982955318107,-0.06547037491524388,-0.06547037491524388,-0.06547037491524388,-0.0593823466393211,-0.0593823466393211,-0.0593823466393211,-0.0060880282759227895,-0.0060880282759227895,-0.0060880282759227895,0.0,0.0,0.0,0.49212792061656685
2,2023-09-01 00:02:00,0.5575951337990206,0.44358522994206806,0.5454981693953607,0.5575951337990206,0.5575951337990206,-0.06517525377887265,-0.06517525377887265,-0.06517525377887265,-0.05908473396548388,-0.05908473396548388,-0.05908473396548388,-0.0060905198133887894,-0.0060905198133887894,-0.0060905198133887894,0.0,0.0,0.0,0.4924198800201479
3,2023-09-01 00:03:00,0.5575919720662305,0.4457758594080732,0.5472111671040791,0.5575919720662305,0.5575919720662305,-0.06487672346006208,-0.06487672346006208,-0.06487672346006208,-0.05878370163307264,-0.05878370163307264,-0.05878370163307264,-0.0060930218269894375,-0.0060930218269894375,-0.0060930218269894375,0.0,0.0,0.0,0.4927152486061684
4,2023-09-01 00:04:00,0.5575888103334402,0.43938080875433044,0.5438360655981164,0.5575888103334402,0.5575888103334402,-0.06457482882427211,-0.06457482882427211,-0.06457482882427211,-0.05847929450799487,-0.05847929450799487,-0.05847929450799487,-0.006095534316277244,-0.006095534316277244,-0.006095534316277244,0.0,0.0,0.0,0.4930139815091681
5,2023-09-01 00:05:00,0.5575856486006501,0.4483700781438615,0.5449945422486265,0.5575856486006501,0.5575856486006501,-0.06426961539822056,-0.06426961539822056,-0.06426961539822056,-0.058171558117645954,-0.058171558117645954,-0.058171558117645954,-0.006098057280574599,-0.006098057280574599,-0.006098057280574599,0.0,0.0,0.0,0.4933160332024295
6,2023-09-01 00:06:00,0.5575824868678599,0.44589402591935423,0.5453271908502001,0.5575824868678599,0.5575824868678599,-0.06396112933586018,-0.06396112933586018,-0.06396112933586018,-0.05786053861657712,-0.05786053861657712,-0.05786053861657712,-0.006100590719283051,-0.006100590719283051,-0.006100590719283051,0.0,0.0,0.0,0.49362135753199976
7,2023-09-01 00:07:00,0.5575793251350698,0.44971926621248415,0.541644345085215,0.5575793251350698,0.5575793251350698,-0.06364941741995377,-0.06364941741995377,-0.06364941741995377,-0.057546282788271085,-0.057546282788271085,-0.057546282788271085,-0.0061031346316826815,-0.0061031346316826815,-0.0061031346316826815,0.0,0.0,0.0,0.493929907715116
8,2023-09-01 00:08:00,0.5575761634022796,0.44247934481871987,0.5447058985051828,0.5575761634022796,0.5575761634022796,-0.06333452704794425,-0.06333452704794425,-0.06333452704794425,-0.05722883803098062,-0.05722883803098062,-0.05722883803098062,-0.006105689016963645,-0.006105689016963645,-0.006105689016963645,0.0,0.0,0.0,0.4942416363543353
9,2023-09-01 00:09:00,0.5575730016694894,0.44412824410842644,0.5427295383428715,0.5575730016694894,0.5575730016694894,-0.0630165062140627,-0.0630165062140627,-0.0630165062140627,-0.056908252339768164,-0.056908252339768164,-0.056908252339768164,-0.006108253874294551,-0.006108253874294551,-0.006108253874294551,0.0,0.0,0.0,0.49455649545542674
