feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24
0.8199538628698452,0.8251302717242964,0.6084266331026617,0.5693233333064365,0.6026298909557408,0.5742323520101298,0.5454545454545454,0.6457703927492447,0.5707761364176126,0.5677829038906149,0.5525166637300696,0.6421217189588079,0.1795412996458205,0.1606417143777853,0.2352479105716094,0.4805602162781318,0.5723225714692078,0.6309061285875422,0.4264605930822588,0.6498771498771498,0.0320404721753794,0.0106761565836298,0.2501949008171397,0.355119825708061,0.2442396313364055
0.8202065715655245,0.8251700920819853,0.6065771212070376,0.569313159641202,0.5987812700449007,0.5653687875910098,0.5568181818181818,0.6299093655589124,0.5650667363321141,0.5552166044210108,0.5496034038077746,0.6180642522349883,0.1750139314840274,0.1569189622237011,0.2289890697442676,0.4800803459426133,0.5664912530223296,0.6201278355683669,0.4118802662818304,0.6438711438711439,0.0337268128161888,0.0106761565836298,0.2250021655646349,0.3311546840958606,0.2211981566820276
0.8200560657766404,0.8251667377481434,0.6064271644924382,0.5693255959002264,0.6106478511866581,0.5792972459639126,0.5397727272727272,0.6487915407854985,0.5704887664465871,0.5645544989486239,0.552930509999405,0.6400541271989175,0.1779879575121023,0.1574791651625684,0.2324452642663616,0.4747593304221282,0.5721803441900156,0.6330367213936583,0.415948978166752,0.6509691509691509,0.0320404721753794,0.0106761565836298,0.2153870585857419,0.3355119825708061,0.2350230414746544
0.8203010218683578,0.8249524315225046,0.6067775307854743,0.5693018004662309,0.6084028223220013,0.5770813548591327,0.5227272727272726,0.6355740181268882,0.5692989122690353,0.5687579114751697,0.5564555934007078,0.6341091004855198,0.1797586268121672,0.1603377350673042,0.2336360623050462,0.4991577595786204,0.5704736168397099,0.6342900112796089,0.4194916437782226,0.6476931476931477,0.0354131534569983,0.0106761565836298,0.2255363381745734,0.3420479302832244,0.2442396313364055
0.8202409883782504,0.8248796347387184,0.6065628475512042,0.5692908488050192,0.6141757536882617,0.5862614751503641,0.5625,0.6370845921450151,0.5847575167434569,0.57902478318635,0.5728822564578883,0.6294892375965507,0.1770067065497014,0.1589540578682564,0.2319504797724236,0.5017740315199348,0.5858341629924619,0.6431883694698584,0.4283599459987896,0.6482391482391482,0.0303541315345699,0.0106761565836298,0.2221869315392833,0.3289760348583878,0.2534562211981567
0.8202472606981187,0.8249119497964231,0.6068218761715751,0.5693254621196144,0.6305323925593329,0.5963912630579298,0.5625,0.6552114803625378,0.6012349783878781,0.6009519923840609,0.5829522563762081,0.6775285274432182,0.1775687687914148,0.1597222426075053,0.2333493089953656,0.4884457589346938,0.6021903000995591,0.658854493044241,0.436688236115637,0.6617526617526617,0.0320404721753794,0.0106761565836298,0.2317876014206104,0.3507625272331155,0.2903225806451613
0.820378787426742,0.824925579965768,0.6068615551701919,0.5693274548168581,0.6247594611930725,0.5875276986388097,0.6022727272727272,0.6582326283987915,0.5900892984372773,0.5965581813807028,0.5759230930496775,0.6580657090747107,0.1775229444687131,0.1579111575696356,0.2302200407671801,0.489509217371286,0.5912387996017636,0.660734427873167,0.4310134537498255,0.6526071526071526,0.0303541315345699,0.0106761565836298,0.2385441630814541,0.326797385620915,0.2857142857142857
0.8202016029002257,0.8248594313414935,0.6062866042744844,0.5693060462491661,0.5968569595894804,0.5698005698005698,0.5511363636363635,0.631797583081571,0.5703248943143494,0.5686993273284584,0.5562957336105792,0.6305678593141086,0.1760618226160749,0.1568689809082847,0.2282345946632199,0.4787945459708348,0.5717536623524392,0.6351673141997743,0.4149946464317304,0.6459186459186459,0.0303541315345699,0.0106761565836298,0.2211907718072359,0.3289760348583878,0.2304147465437788
0.8201819984759753,0.8249479011490158,0.6065617397743435,0.5693080482876995,0.6116100064143682,0.5862614751503641,0.5568181818181818,0.6442598187311178,0.5976559160214695,0.591304438795259,0.5849892046022506,0.6405808307908678,0.1730719809442198,0.1560271276623183,0.2240504762481902,0.4851310686322652,0.5993457545157161,0.6478255420478756,0.4337461012057167,0.6519246519246519,0.0337268128161888,0.0106761565836298,0.2145208327317876,0.3246187363834423,0.2672811059907834
0.8202168297765495,0.8248502091221265,0.6068002206044486,0.5693122935702084,0.6064785118665812,0.5827793605571383,0.5681818181818181,0.6374622356495467,0.5902816700707737,0.5854543932879307,0.5733525009500183,0.6229474669199327,0.1758211825729382,0.1570867580781361,0.2251213098949128,0.4858671663255249,0.5920921632769165,0.6504574508083719,0.4289558214235837,0.6449631449631449,0.0438448566610455,0.0177935943060498,0.2254352784916121,0.3246187363834423,0.2442396313364055
